id,geoname,latitude,longitude,country
65 / 6039,"Alta Verapaz, Tactic",15.783471,-90.230759,Guatemala
65 / 2619,"Sonora, West Of Torres",23.634501,-102.552784,Mexico
65 / 3291 B,Nahuizalco,13.794185,-88.89653,El Salvador
65 / 4193 C,Bocay,12.865416,-85.207229,Nicaragua
65 / 5989,"Alta Verapaz, San Pedro Carchá",15.783471,-90.230759,Guatemala
65 / 5655,"Oaxaca, Huamelula",23.634501,-102.552784,Mexico
65 / 6084,"Quetzaltenango, San Martin Sacatepéquez",15.783471,-90.230759,Guatemala
MCAE/ 0064,"Department Guatemala, Chinautla",15.783471,-90.230759,Guatemala
DN/ 51,"Oaxaca, Zapotecas",23.634501,-102.552784,Mexico
30 / 196,"Oaxaca, Tlapiltepec",23.634501,-102.552784,Mexico
30 / 401,"Oaxaca, Tillo",23.634501,-102.552784,Mexico
30 / 1031,Xacatlancillo,23.634501,-102.552784,Mexico
30 / 1717,"Nayarít, Tepic, Rancho Trajitezio",23.634501,-102.552784,Mexico
30 / 3635,"Michoacán, Peribán",23.634501,-102.552784,Mexico
30 / 2752,"Texcoco, Papalotl",23.634501,-102.552784,Mexico
30 / 2485,"Jalisco, Atoyac, Rancho Tehuantepsec",23.634501,-102.552784,Mexico
30 / 6948,"Oaxaca, Zegache",23.634501,-102.552784,Mexico
30 / 6207,"Jalisco, Antiquisa",23.634501,-102.552784,Mexico
30 / 5981,"Jalisco, Bought Of Dealer In Teuchitlán",23.634501,-102.552784,Mexico
30.0/ 493,"Oaxaca, Jalpa",23.634501,-102.552784,Mexico
30 / 8402,"Jalisco, Canton Of Autlan, Rio Cuismala",23.634501,-102.552784,Mexico
65 / 2031,"Oaxaca, Matatlán",23.634501,-102.552784,Mexico
30 / 9402,"Jalisco, San Martin De Tonala, Guadalajara",23.634501,-102.552784,Mexico
30 / 9490,"Jalisco, Environs De Guadalajara, San Martin Tlaxicoltzingo De Tonala",23.634501,-102.552784,Mexico
30.0/ 1691,"Northern Honduras, Puerto Cortez, La Champa",15.199999,-86.241905,Honduras
MCAA/ 0155,"Guanajuato, La Luz",23.634501,-102.552784,Mexico
30.0/ 2351,Coatepeque,13.794185,-88.89653,El Salvador
30.0/ 3514,"Cookra Point, Bluefields",12.865416,-85.207229,Nicaragua
30.0/ 3525,Wanko River,12.865416,-85.207229,Nicaragua
30.1/ 4461,Finca Arevalo,15.783471,-90.230759,Guatemala
30.1/ 1649,"Bonacca Island, Stanley'S Hill",15.199999,-86.241905,Honduras
30.1/ 4309,"San Juan Teotihuacán, Station",23.634501,-102.552784,Mexico
30.2/ 3389,"Oaxaca, Taviche",23.634501,-102.552784,Mexico
30.2/ 3405,"Michoacan, Uruapan, Hacienda Of El Sabino",23.634501,-102.552784,Mexico
30.2/ 3855,El Prisco Brickyard,23.634501,-102.552784,Mexico
30.2/ 4218,"Veracruz, Panuco, El Tigre, Topila And Mexico City Short Line",23.634501,-102.552784,Mexico
